2025-06-19 15:43:10,921 | __main__ | INFO | run_pipeline.py:92 | 🚀 PyNucleus CLI started
2025-06-19 15:43:10,921 | __main__ | INFO | run_pipeline.py:93 | 📋 Configuration: configs/dev_simulation_config.json
2025-06-19 15:43:10,921 | __main__ | INFO | run_pipeline.py:94 | 📁 Output directory: data/05_output
2025-06-19 15:43:10,921 | __main__ | INFO | run_pipeline.py:95 | 🔧 Verbose mode: ON
2025-06-19 15:43:10,921 | __main__ | INFO | logging_config.py:155 | System Information:
2025-06-19 15:43:10,933 | __main__ | INFO | logging_config.py:156 |   Platform: macOS-15.5-arm64-arm-64bit-Mach-O
2025-06-19 15:43:10,934 | __main__ | INFO | logging_config.py:157 |   Python Version: 3.13.4
2025-06-19 15:43:10,934 | __main__ | INFO | logging_config.py:158 |   Python Implementation: CPython
2025-06-19 15:43:10,936 | __main__ | INFO | logging_config.py:159 |   Architecture: 64bit
2025-06-19 15:43:10,936 | __main__ | INFO | logging_config.py:160 |   Processor: arm
2025-06-19 15:43:10,936 | __main__ | INFO | logging_config.py:161 |   Working Directory: /Users/mohammadalmusaiteer/PyNucleus-Model
2025-06-19 15:43:10,936 | __main__ | DEBUG | logging_config.py:164 |   Python Path: ['/Users/mohammadalmusaiteer/PyNucleus-Model', '/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/lib/python313.zip', '/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/lib/python3.13', '/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload', '/Users/mohammadalmusaiteer/PyNucleus-Model/.venv/lib/python3.13/site-packages', '/Users/mohammadalmusaiteer/PyNucleus-Model/src']
2025-06-19 15:43:10,941 | __main__ | INFO | logging_config.py:170 |   Total Memory: 16 GB
2025-06-19 15:43:10,941 | __main__ | INFO | logging_config.py:171 |   Available Memory: 4 GB
2025-06-19 15:43:10,941 | __main__ | INFO | run_pipeline.py:106 | ⚙️ Loading configuration...
2025-06-19 15:43:10,941 | __main__ | INFO | run_pipeline.py:109 | ✅ Configuration loaded successfully
2025-06-19 15:43:10,941 | __main__ | INFO | run_pipeline.py:114 | 📂 Output directory prepared: data/05_output
2025-06-19 15:43:10,941 | __main__ | INFO | run_pipeline.py:117 | 🔄 Starting pipeline execution...
2025-06-19 15:43:11,036 | pynucleus.pipeline.pipeline_rag | WARNING | pipeline_rag.py:43 | Failed to initialize vector store: 'Settings' object has no attribute 'vstore_backend'
2025-06-19 15:43:14,041 | datasets | INFO | config.py:54 | PyTorch version 2.7.1 available.
2025-06-19 15:43:14,264 | pynucleus.rag.vector_store | INFO | vector_store.py:361 | No existing FAISS directories found
2025-06-19 15:43:14,264 | pynucleus.pipeline.pipeline_utils | INFO | pipeline_utils.py:42 | Pipeline components initialized successfully
2025-06-19 15:43:14,264 | pynucleus.pipeline.pipeline_utils | WARNING | pipeline_utils.py:46 | FAISS vector store not loaded - using fallback mode
2025-06-19 15:43:14,264 | __main__ | INFO | run_pipeline.py:121 | 🎉 Pipeline completed successfully!
2025-06-19 15:43:14,264 | __main__ | INFO | run_pipeline.py:122 | 📊 Results: Pipeline completed successfully (mock implementation)
