2025-06-19 16:39:35,432 | __main__ | INFO | run_pipeline.py:319 | 🚀 Starting document ingestion
2025-06-19 16:39:35,432 | __main__ | INFO | run_pipeline.py:320 | 📁 Source directory: data/01_raw
2025-06-19 16:39:35,432 | __main__ | INFO | run_pipeline.py:321 | 📁 Output directory: data/03_intermediate
2025-06-19 16:39:35,432 | __main__ | INFO | run_pipeline.py:336 | 🔧 Using vector store backend: chroma
2025-06-19 16:39:35,433 | pynucleus.rag.rag_core | INFO | rag_core.py:34 | RAG Core components initialized successfully
2025-06-19 16:39:35,433 | __main__ | INFO | run_pipeline.py:348 | 🔄 Processing documents...
2025-06-19 16:39:38,936 | datasets | INFO | config.py:54 | PyTorch version 2.7.1 available.
2025-06-19 16:39:39,282 | chromadb.telemetry.product.posthog | INFO | posthog.py:22 | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-06-19 16:39:39,316 | chromadb.config | DEBUG | config.py:359 | Starting component System
2025-06-19 16:39:39,317 | chromadb.config | DEBUG | config.py:359 | Starting component Posthog
2025-06-19 16:39:39,372 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:211 | Use pytorch device_name: mps
2025-06-19 16:39:39,372 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-06-19 16:39:39,373 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (1): huggingface.co:443
2025-06-19 16:39:39,564 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json HTTP/1.1" 200 0
2025-06-19 16:39:39,614 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json HTTP/1.1" 200 0
2025-06-19 16:39:39,662 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/README.md HTTP/1.1" 200 0
2025-06-19 16:39:39,709 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json HTTP/1.1" 200 0
2025-06-19 16:39:39,754 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/sentence_bert_config.json HTTP/1.1" 200 0
2025-06-19 16:39:39,802 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/adapter_config.json HTTP/1.1" 404 0
2025-06-19 16:39:39,853 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (1): us.i.posthog.com:443
2025-06-19 16:39:39,863 | urllib3.util.retry | DEBUG | retry.py:521 | Incremented Retry for (url='/batch/'): Retry(total=1, connect=1, read=2, redirect=None, status=None)
2025-06-19 16:39:39,863 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=1, connect=1, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x14d98a850>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
2025-06-19 16:39:39,863 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (2): us.i.posthog.com:443
2025-06-19 16:39:39,865 | urllib3.util.retry | DEBUG | retry.py:521 | Incremented Retry for (url='/batch/'): Retry(total=0, connect=0, read=2, redirect=None, status=None)
2025-06-19 16:39:39,865 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=0, connect=0, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x14d98aad0>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
2025-06-19 16:39:39,865 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (3): us.i.posthog.com:443
2025-06-19 16:39:39,870 | backoff | INFO | _common.py:105 | Backing off send_request(...) for 1.0s (requests.exceptions.ConnectionError: HTTPSConnectionPool(host='us.i.posthog.com', port=443): Max retries exceeded with url: /batch/ (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x14d98ad50>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")))
2025-06-19 16:39:39,897 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json HTTP/1.1" 200 0
