2025-06-19 17:00:35,336 | __main__ | INFO | run_pipeline.py:568 | 🚀 Starting interactive chat session
2025-06-19 17:00:35,337 | __main__ | INFO | run_pipeline.py:569 | 🤖 Model ID: Qwen/Qwen2.5-1.5B-Instruct
2025-06-19 17:00:35,337 | __main__ | INFO | run_pipeline.py:570 | 📊 Top K: 5
2025-06-19 17:00:35,337 | __main__ | INFO | run_pipeline.py:571 | 🧠 DSPy enabled: True
2025-06-19 17:00:35,337 | __main__ | WARNING | run_pipeline.py:607 | ⚠️ DSPy initialization failed: No module named 'src.pynucleus.llm.dspy_compile'
2025-06-19 17:00:35,337 | __main__ | INFO | run_pipeline.py:616 | 🔧 Initializing RAG pipeline and LLM runner
2025-06-19 17:00:35,916 | chromadb.config | DEBUG | config.py:359 | Starting component System
2025-06-19 17:00:35,916 | chromadb.config | DEBUG | config.py:359 | Starting component Posthog
2025-06-19 17:00:35,925 | pynucleus.rag.vector_store | INFO | vector_store.py:593 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-19 17:00:36,012 | pynucleus.rag.vector_store | INFO | vector_store.py:598 | ChromaDB collection contains 3602 documents
2025-06-19 17:00:36,013 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:36 | Vector store (chroma) initialized successfully
2025-06-19 17:00:38,644 | pynucleus.llm.llm_runner | INFO | llm_runner.py:27 | Loading model: Qwen/Qwen2.5-1.5B-Instruct
2025-06-19 17:00:38,647 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | Starting new HTTPS connection (1): huggingface.co:443
2025-06-19 17:00:38,717 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /Qwen/Qwen2.5-1.5B-Instruct/resolve/main/tokenizer_config.json HTTP/1.1" 200 0
2025-06-19 17:00:38,767 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "GET /api/models/Qwen/Qwen2.5-1.5B-Instruct/tree/main/additional_chat_templates?recursive=False&expand=False HTTP/1.1" 404 64
2025-06-19 17:00:39,070 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /Qwen/Qwen2.5-1.5B-Instruct/resolve/main/config.json HTTP/1.1" 200 0
2025-06-19 17:00:48,083 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /Qwen/Qwen2.5-1.5B-Instruct/resolve/main/generation_config.json HTTP/1.1" 200 0
2025-06-19 17:00:48,147 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | https://huggingface.co:443 "HEAD /Qwen/Qwen2.5-1.5B-Instruct/resolve/main/custom_generate/generate.py HTTP/1.1" 404 0
2025-06-19 17:00:48,147 | pynucleus.llm.llm_runner | INFO | llm_runner.py:47 | Model loaded successfully on device: cpu
2025-06-19 17:00:58,280 | chromadb.utils.embedding_functions.onnx_mini_lm_l6_v2 | DEBUG | onnx_mini_lm_l6_v2.py:227 | WARNING: No ONNX providers provided, defaulting to available providers: ['CoreMLExecutionProvider', 'AzureExecutionProvider', 'CPUExecutionProvider']
2025-06-19 17:00:58,395 | pynucleus.rag.vector_store | ERROR | vector_store.py:680 | ChromaDB search failed: 'NoneType' object has no attribute 'get'
2025-06-19 17:00:58,395 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:104 | RAG query processed: what is modular plants...
2025-06-19 17:01:44,880 | pynucleus.llm.llm_runner | INFO | llm_runner.py:172 | Generated response in 46.47s
2025-06-19 17:02:23,492 | chromadb.utils.embedding_functions.onnx_mini_lm_l6_v2 | DEBUG | onnx_mini_lm_l6_v2.py:227 | WARNING: No ONNX providers provided, defaulting to available providers: ['CoreMLExecutionProvider', 'AzureExecutionProvider', 'CPUExecutionProvider']
2025-06-19 17:02:23,587 | pynucleus.rag.vector_store | ERROR | vector_store.py:680 | ChromaDB search failed: 'NoneType' object has no attribute 'get'
2025-06-19 17:02:23,587 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:104 | RAG query processed: give me one example of modular plants...
2025-06-19 17:03:51,109 | pynucleus.llm.llm_runner | INFO | llm_runner.py:172 | Generated response in 87.51s
2025-06-19 17:04:33,345 | __main__ | INFO | run_pipeline.py:760 | ✅ Chat session ended. Questions processed: 2
