2025-06-19 17:19:22,397 | pynucleus | WARNING | model_loader.py:22 | CUDA/bitsandbytes path failed: CUDA not available
2025-06-19 17:19:22,898 | pynucleus | INFO | logger.py:24 | ✅ Loaded GGUF via llama-cpp (Metal/CPU)
2025-06-19 17:19:22,907 | chromadb.telemetry.product.posthog | INFO | posthog.py:22 | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-06-19 17:19:22,986 | pynucleus.rag.vector_store | ERROR | vector_store.py:612 | Failed to initialize ChromaDB: An instance of Chroma already exists for data/03_intermediate/vector_db with different settings
2025-06-19 17:19:22,986 | pynucleus.pipeline.pipeline_rag | WARNING | pipeline_rag.py:40 | Vector store (chroma) not fully loaded - will use fallback mode
2025-06-19 17:19:23,009 | pynucleus.rag.vector_store | INFO | vector_store.py:362 | No existing FAISS directories found
2025-06-19 17:19:23,009 | pynucleus.pipeline.pipeline_utils | INFO | pipeline_utils.py:42 | Pipeline components initialized successfully
2025-06-19 17:19:23,009 | pynucleus.pipeline.pipeline_utils | WARNING | pipeline_utils.py:46 | FAISS vector store not loaded - using fallback mode
2025-06-19 17:19:23,009 | pynucleus.rag.vector_store | ERROR | vector_store.py:612 | Failed to initialize ChromaDB: An instance of Chroma already exists for data/03_intermediate/vector_db with different settings
2025-06-19 17:19:23,009 | pynucleus.pipeline.pipeline_rag | WARNING | pipeline_rag.py:40 | Vector store (chroma) not fully loaded - will use fallback mode
2025-06-19 17:19:23,010 | pynucleus.integration.llm_output_generator | INFO | llm_output_generator.py:21 | Using direct content generation (templates migrated to DSPy)
2025-06-19 17:19:23,010 | pynucleus.rag.vector_store | INFO | vector_store.py:362 | No existing FAISS directories found
2025-06-19 17:19:23,453 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=1, connect=1, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x168940590>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
2025-06-19 17:19:23,455 | urllib3.connectionpool | WARNING | connectionpool.py:868 | Retrying (Retry(total=0, connect=0, read=2, redirect=None, status=None)) after connection broken by 'NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x1688e4f50>: Failed to resolve 'us.i.posthog.com' ([Errno 8] nodename nor servname provided, or not known)")': /batch/
