2025-06-21 03:54:58,129 | pynucleus | INFO | run_web_app.py:68 | PyNucleus web application starting
2025-06-21 03:54:58,174 | werkzeug | INFO | _internal.py:97 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://192.168.1.13:5001
2025-06-21 03:54:58,174 | werkzeug | INFO | _internal.py:97 | [33mPress CTRL+C to quit[0m
2025-06-21 03:55:05,488 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-21 03:55:05,488 | pynucleus.rag.vector_store | INFO | vector_store.py:630 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-21 03:55:05,514 | pynucleus.rag.vector_store | INFO | vector_store.py:635 | ChromaDB collection contains 3587 documents
2025-06-21 03:55:05,630 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for 'test...' returned 1 results
2025-06-21 03:55:05,630 | pynucleus | WARNING | engine.py:144 | ChromaVectorStore retrieval failed, falling back to direct collection query: 'list' object has no attribute 'get'
2025-06-21 03:55:05,631 | pynucleus | INFO | engine.py:39 | ChromaDB client initialized successfully in engine
2025-06-21 03:55:05,633 | pynucleus | INFO | logger.py:24 | ✅ ChromaDB collection initialized successfully
2025-06-21 03:55:05,808 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for '...' returned 1000 results
2025-06-21 03:55:05,808 | pynucleus | WARNING | engine.py:144 | ChromaVectorStore retrieval failed, falling back to direct collection query: 'list' object has no attribute 'get'
2025-06-21 03:55:05,897 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 03:55:05] "GET /status HTTP/1.1" 200 -
2025-06-21 03:55:35,623 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for 'test...' returned 1 results
2025-06-21 03:55:35,623 | pynucleus | WARNING | engine.py:144 | ChromaVectorStore retrieval failed, falling back to direct collection query: 'list' object has no attribute 'get'
2025-06-21 03:55:35,802 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for '...' returned 1000 results
2025-06-21 03:55:35,802 | pynucleus | WARNING | engine.py:144 | ChromaVectorStore retrieval failed, falling back to direct collection query: 'list' object has no attribute 'get'
2025-06-21 03:55:35,892 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 03:55:35] "GET /status HTTP/1.1" 200 -
2025-06-21 03:55:52,989 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 03:55:52] "GET / HTTP/1.1" 200 -
2025-06-21 03:55:53,252 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for 'test...' returned 1 results
2025-06-21 03:55:53,252 | pynucleus | WARNING | engine.py:144 | ChromaVectorStore retrieval failed, falling back to direct collection query: 'list' object has no attribute 'get'
2025-06-21 03:55:53,478 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for '...' returned 1000 results
2025-06-21 03:55:53,478 | pynucleus | WARNING | engine.py:144 | ChromaVectorStore retrieval failed, falling back to direct collection query: 'list' object has no attribute 'get'
2025-06-21 03:55:53,568 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 03:55:53] "GET /status HTTP/1.1" 200 -
2025-06-21 03:56:01,724 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 03:56:01] "[36mGET / HTTP/1.1[0m" 304 -
2025-06-21 03:56:02,089 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for 'test...' returned 1 results
2025-06-21 03:56:02,089 | pynucleus | WARNING | engine.py:144 | ChromaVectorStore retrieval failed, falling back to direct collection query: 'list' object has no attribute 'get'
2025-06-21 03:56:02,308 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for '...' returned 1000 results
2025-06-21 03:56:02,308 | pynucleus | WARNING | engine.py:144 | ChromaVectorStore retrieval failed, falling back to direct collection query: 'list' object has no attribute 'get'
2025-06-21 03:56:02,397 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 03:56:02] "GET /status HTTP/1.1" 200 -
2025-06-21 03:56:11,467 | pynucleus.api.app | INFO | app.py:164 | Processing question: How does distillation work in chemical processes?...
2025-06-21 03:56:11,583 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for 'How does distillation work in chemical processes?...' returned 5 results
2025-06-21 03:56:12,327 | pynucleus | WARNING | model_loader.py:80 | Model generation failed: Empty or too short response. Using fallback.
2025-06-21 03:56:12,327 | pynucleus.api.app | INFO | app.py:189 | Question processed successfully in 0.86s
2025-06-21 03:56:12,327 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 03:56:12] "POST /ask HTTP/1.1" 200 -
