2025-06-21 04:40:50,698 | pynucleus.api.app | INFO | app.py:166 | Processing question: What is distillation?...
2025-06-21 04:40:50,741 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-21 04:40:50,741 | pynucleus.rag.vector_store | INFO | vector_store.py:630 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-21 04:40:50,799 | pynucleus.rag.vector_store | INFO | vector_store.py:635 | ChromaDB collection contains 3588 documents
2025-06-21 04:40:50,911 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for 'What is distillation?...' returned 5 results
2025-06-21 04:40:51,485 | pynucleus | WARNING | model_loader.py:80 | Model generation failed: Empty or too short response. Using fallback.
2025-06-21 04:40:51,485 | pynucleus.api.app | INFO | app.py:191 | Question processed successfully in 0.79s
2025-06-21 04:40:51,486 | pynucleus.api.app | INFO | app.py:166 | Processing question: What is chemical engineering?...
2025-06-21 04:40:51,579 | pynucleus.rag.vector_store | INFO | vector_store.py:712 | ChromaDB search for 'What is chemical engineering?...' returned 5 results
2025-06-21 04:40:52,282 | pynucleus | WARNING | model_loader.py:80 | Model generation failed: Empty or too short response. Using fallback.
2025-06-21 04:40:52,282 | pynucleus.api.app | INFO | app.py:191 | Question processed successfully in 0.80s
2025-06-21 04:40:52,283 | pynucleus.api.app | WARNING | app.py:153 | Ask request missing question field
2025-06-21 04:40:52,283 | pynucleus.api.app | WARNING | app.py:163 | Ask request with empty question
2025-06-21 04:40:52,284 | pynucleus.api.app | INFO | app.py:385 | Running system diagnostic
2025-06-21 04:41:12,210 | pynucleus.api.app | WARNING | app.py:400 | Failed to parse JSON from stdout: Expecting value: line 1 column 1 (char 0)
2025-06-21 04:41:12,211 | pynucleus.api.app | INFO | app.py:409 | Loaded validation results from data/validation/results/system_validation_20250621_044111.json
2025-06-21 04:41:12,211 | pynucleus.api.app | INFO | app.py:429 | System diagnostic completed with return code 0
2025-06-21 04:41:12,214 | pynucleus.api.app | INFO | app.py:385 | Running system diagnostic
2025-06-21 04:41:33,271 | pynucleus.api.app | WARNING | app.py:400 | Failed to parse JSON from stdout: Expecting value: line 1 column 1 (char 0)
2025-06-21 04:41:33,271 | pynucleus.api.app | INFO | app.py:409 | Loaded validation results from data/validation/results/system_validation_20250621_044132.json
2025-06-21 04:41:33,271 | pynucleus.api.app | INFO | app.py:429 | System diagnostic completed with return code 0
