2025-06-21 12:46:56,750 | __main__ | ERROR | run_web_app.py:148 | ❌ Failed to start application: cannot import name 'get_logger' from 'pynucleus.utils.logger' (/Users/mohammadalmusaiteer/PyNucleus-Model/src/pynucleus/utils/logger.py)
2025-06-21 12:46:56,750 | __main__ | WARNING | run_web_app.py:201 | ⚠️ Application failed, restart attempt 1
2025-06-21 12:46:56,750 | __main__ | INFO | run_web_app.py:41 | Cleaning up application resources...
2025-06-21 12:46:56,853 | __main__ | INFO | run_web_app.py:55 | Resource cleanup completed
2025-06-21 12:46:56,853 | __main__ | WARNING | run_web_app.py:167 | ⚠️ Quick restart detected (uptime: 5.8s)
2025-06-21 12:47:26,858 | __main__ | INFO | run_web_app.py:194 | ✅ Starting application (attempt 2)
2025-06-21 12:47:26,859 | __main__ | ERROR | run_web_app.py:148 | ❌ Failed to start application: cannot import name 'get_logger' from 'pynucleus.utils.logger' (/Users/mohammadalmusaiteer/PyNucleus-Model/src/pynucleus/utils/logger.py)
2025-06-21 12:47:26,859 | __main__ | WARNING | run_web_app.py:201 | ⚠️ Application failed, restart attempt 2
2025-06-21 12:47:26,859 | __main__ | INFO | run_web_app.py:41 | Cleaning up application resources...
2025-06-21 12:47:27,006 | __main__ | INFO | run_web_app.py:55 | Resource cleanup completed
2025-06-21 12:47:27,006 | __main__ | WARNING | run_web_app.py:167 | ⚠️ Quick restart detected (uptime: 0.1s)
2025-06-21 12:47:57,011 | __main__ | INFO | run_web_app.py:194 | ✅ Starting application (attempt 3)
2025-06-21 12:47:57,012 | __main__ | ERROR | run_web_app.py:148 | ❌ Failed to start application: cannot import name 'get_logger' from 'pynucleus.utils.logger' (/Users/mohammadalmusaiteer/PyNucleus-Model/src/pynucleus/utils/logger.py)
2025-06-21 12:47:57,012 | __main__ | WARNING | run_web_app.py:201 | ⚠️ Application failed, restart attempt 3
2025-06-21 12:47:57,012 | __main__ | INFO | run_web_app.py:41 | Cleaning up application resources...
