2025-06-21 22:29:45,014 | pynucleus.rag.vector_store | WARNING | vector_store.py:606 | ChromaDB instance conflict detected in vector store, archiving old DB...
2025-06-21 22:29:45,014 | pynucleus.rag.vector_store | ERROR | vector_store.py:619 | Failed to archive/recreate ChromaDB in vector store: cannot import name '_archive_and_recreate_chromadb' from 'pynucleus.rag.engine' (/Users/mohammadalmusaiteer/PyNucleus-Model/src/pynucleus/rag/engine.py)
2025-06-21 22:29:45,014 | pynucleus.pipeline.pipeline_rag | WARNING | pipeline_rag.py:45 | Vector store (chroma) not fully loaded - will use fallback mode
2025-06-21 22:29:45,014 | validate_rag_factual_accuracy | INFO | validate_rag_factual_accuracy.py:61 | Loading validation questions from docs/e2e_validation_questions.csv
2025-06-21 22:29:45,015 | validate_rag_factual_accuracy | INFO | validate_rag_factual_accuracy.py:128 | Loaded 0 questions from CSV
2025-06-21 22:29:45,015 | validate_rag_factual_accuracy | INFO | validate_rag_factual_accuracy.py:73 | Validating 0 questions...
2025-06-21 22:29:45,015 | validate_rag_factual_accuracy | INFO | validate_rag_factual_accuracy.py:106 | Validation completed: 0/0 passed
2025-06-21 22:29:45,015 | pynucleus.rag.vector_store | WARNING | vector_store.py:606 | ChromaDB instance conflict detected in vector store, archiving old DB...
2025-06-21 22:29:45,015 | pynucleus.rag.vector_store | ERROR | vector_store.py:619 | Failed to archive/recreate ChromaDB in vector store: cannot import name '_archive_and_recreate_chromadb' from 'pynucleus.rag.engine' (/Users/mohammadalmusaiteer/PyNucleus-Model/src/pynucleus/rag/engine.py)
2025-06-21 22:29:45,018 | pynucleus.api.app | INFO | app.py:148 | Health check requested
2025-06-21 22:29:45,104 | pynucleus | INFO | engine.py:66 | Retrieved 2 documents for query
2025-06-21 22:29:45,104 | pynucleus | INFO | model_loader.py:195 | Generating with HuggingFace model (max_tokens=50, stream=False)
2025-06-21 22:29:49,511 | pynucleus | WARNING | model_loader.py:284 | HuggingFace generation failed: Invalid HuggingFace response, using fallback
2025-06-21 22:29:49,512 | pynucleus.rag.vector_store | WARNING | vector_store.py:606 | ChromaDB instance conflict detected in vector store, archiving old DB...
2025-06-21 22:29:49,512 | pynucleus.rag.vector_store | ERROR | vector_store.py:619 | Failed to archive/recreate ChromaDB in vector store: cannot import name '_archive_and_recreate_chromadb' from 'pynucleus.rag.engine' (/Users/mohammadalmusaiteer/PyNucleus-Model/src/pynucleus/rag/engine.py)
2025-06-21 22:29:49,512 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 22:29:49] "GET /health HTTP/1.1" 200 -
2025-06-21 22:29:49,514 | pynucleus.api.app | INFO | app.py:340 | Processing question: test... (stream: False)
2025-06-21 22:29:49,599 | pynucleus | INFO | engine.py:66 | Retrieved 2 documents for query
2025-06-21 22:29:49,599 | pynucleus | INFO | model_loader.py:195 | Generating with HuggingFace model (max_tokens=50, stream=False)
2025-06-21 22:29:53,978 | pynucleus.api.app | INFO | app.py:440 | Question processed successfully in 4.46s
2025-06-21 22:29:53,978 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 22:29:53] "POST /ask HTTP/1.1" 200 -
2025-06-21 22:29:53,979 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 22:29:53] "GET /system_diagnostic HTTP/1.1" 200 -
2025-06-21 22:30:06,868 | pynucleus | INFO | comprehensive_system_diagnostic.py:819 | Test log message from comprehensive diagnostic
2025-06-21 22:30:06,968 | pynucleus | INFO | engine.py:66 | Retrieved 1 documents for query
2025-06-21 22:30:07,443 | pynucleus | WARNING | qwen_loader.py:36 | bitsandbytes not available, falling back to standard loading
2025-06-21 22:30:09,861 | pynucleus | INFO | qwen_loader.py:42 | Standard model loaded: Qwen/Qwen3-0.6B
