2025-06-21 22:43:11,473 | __main__ | INFO | run_web_app.py:134 | PyNucleus web application starting
2025-06-21 22:43:11,509 | werkzeug | INFO | _internal.py:97 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://192.168.1.43:5001
2025-06-21 22:43:11,509 | werkzeug | INFO | _internal.py:97 | [33mPress CTRL+C to quit[0m
2025-06-21 22:43:30,730 | pynucleus.api.app | INFO | app.py:148 | Health check requested
2025-06-21 22:43:30,734 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 22:43:30] "[36mGET / HTTP/1.1[0m" 304 -
2025-06-21 22:43:30,850 | pynucleus | INFO | engine.py:30 | ChromaDB client initialized successfully
2025-06-21 22:43:31,117 | pynucleus | INFO | engine.py:66 | Retrieved 2 documents for query
2025-06-21 22:43:31,117 | pynucleus | INFO | model_loader.py:195 | Generating with HuggingFace model (max_tokens=50, stream=False)
2025-06-21 22:43:35,837 | pynucleus.rag.vector_store | WARNING | vector_store.py:606 | ChromaDB instance conflict detected in vector store, reinitializing...
2025-06-21 22:43:35,939 | pynucleus.rag.vector_store | ERROR | vector_store.py:621 | Failed to recreate ChromaDB in vector store: An instance of Chroma already exists for data/03_intermediate/vector_db with different settings
2025-06-21 22:43:35,940 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 22:43:35] "GET /health HTTP/1.1" 200 -
2025-06-21 22:43:36,378 | pynucleus.api.app | INFO | app.py:340 | Processing question: what is modular plants?... (stream: False)
2025-06-21 22:43:36,505 | pynucleus | INFO | engine.py:66 | Retrieved 2 documents for query
2025-06-21 22:43:36,505 | pynucleus | INFO | model_loader.py:195 | Generating with HuggingFace model (max_tokens=50, stream=False)
2025-06-21 22:43:39,982 | pynucleus.api.app | INFO | app.py:440 | Question processed successfully in 3.61s
2025-06-21 22:43:39,982 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 22:43:39] "POST /ask HTTP/1.1" 200 -
2025-06-21 22:43:57,479 | pynucleus | INFO | engine.py:66 | Retrieved 1 documents for query
2025-06-21 22:43:57,652 | pynucleus | INFO | engine.py:66 | Retrieved 1000 documents for query
2025-06-21 22:43:57,653 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 22:43:57] "GET /status HTTP/1.1" 200 -
2025-06-21 22:43:58,883 | pynucleus | INFO | system_validator.py:206 | Test log message from validator
2025-06-21 22:43:59,196 | pynucleus | INFO | engine.py:66 | Retrieved 1 documents for query
2025-06-21 22:43:59,196 | pynucleus | INFO | model_loader.py:195 | Generating with HuggingFace model (max_tokens=50, stream=False)
2025-06-21 22:44:00,880 | pynucleus | INFO | engine.py:66 | Retrieved 1 documents for query
2025-06-21 22:44:00,977 | pynucleus | INFO | engine.py:66 | Retrieved 1000 documents for query
2025-06-21 22:44:00,977 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 22:44:00] "GET /status HTTP/1.1" 200 -
2025-06-21 22:44:02,163 | pynucleus | INFO | engine.py:66 | Retrieved 2 documents for query
2025-06-21 22:44:02,164 | pynucleus | INFO | model_loader.py:195 | Generating with HuggingFace model (max_tokens=50, stream=False)
2025-06-21 22:44:05,566 | pynucleus | INFO | engine.py:66 | Retrieved 2 documents for query
2025-06-21 22:44:05,566 | pynucleus | INFO | model_loader.py:195 | Generating with HuggingFace model (max_tokens=50, stream=False)
2025-06-21 22:44:09,622 | pynucleus | INFO | engine.py:66 | Retrieved 2 documents for query
2025-06-21 22:44:09,623 | pynucleus | INFO | model_loader.py:195 | Generating with HuggingFace model (max_tokens=50, stream=False)
2025-06-21 22:44:13,669 | pynucleus | INFO | engine.py:66 | Retrieved 2 documents for query
2025-06-21 22:44:13,669 | pynucleus | INFO | model_loader.py:195 | Generating with HuggingFace model (max_tokens=50, stream=False)
2025-06-21 22:44:17,274 | pynucleus | INFO | engine.py:66 | Retrieved 2 documents for query
2025-06-21 22:44:17,274 | pynucleus | INFO | model_loader.py:195 | Generating with HuggingFace model (max_tokens=50, stream=False)
2025-06-21 22:44:20,919 | pynucleus | INFO | engine.py:66 | Retrieved 2 documents for query
2025-06-21 22:44:20,919 | pynucleus | INFO | model_loader.py:195 | Generating with HuggingFace model (max_tokens=50, stream=False)
2025-06-21 22:44:24,328 | pynucleus | INFO | golden_eval.py:13 | Randomly sampled 5 questions from 49 total questions
2025-06-21 22:44:24,417 | pynucleus | INFO | engine.py:66 | Retrieved 2 documents for query
2025-06-21 22:44:24,417 | pynucleus | INFO | model_loader.py:195 | Generating with HuggingFace model (max_tokens=50, stream=False)
2025-06-21 22:44:27,975 | pynucleus | WARNING | golden_eval.py:22 | Q: What is the ANSI flange rating suitable for pressures up to 50 bar? missed keywords: ['ansi', 'class 300', '50 bar']
2025-06-21 22:44:28,059 | pynucleus | INFO | engine.py:66 | Retrieved 2 documents for query
2025-06-21 22:44:28,059 | pynucleus | INFO | model_loader.py:195 | Generating with HuggingFace model (max_tokens=50, stream=False)
2025-06-21 22:44:30,876 | pynucleus | INFO | engine.py:66 | Retrieved 1 documents for query
2025-06-21 22:44:31,022 | pynucleus | INFO | engine.py:66 | Retrieved 1000 documents for query
2025-06-21 22:44:31,023 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 22:44:31] "GET /status HTTP/1.1" 200 -
2025-06-21 22:44:31,613 | pynucleus | WARNING | golden_eval.py:22 | Q: What is diffusion-controlled reaction? missed keywords: ['diffusion-controlled', 'reaction rate', 'reactant']
2025-06-21 22:44:31,699 | pynucleus | INFO | engine.py:66 | Retrieved 2 documents for query
2025-06-21 22:44:31,699 | pynucleus | INFO | model_loader.py:195 | Generating with HuggingFace model (max_tokens=50, stream=False)
2025-06-21 22:44:35,174 | pynucleus | WARNING | golden_eval.py:22 | Q: Define molar flux in mass transfer. missed keywords: ['molar flux', 'mass transfer', 'rate', 'area', 'time']
2025-06-21 22:44:35,260 | pynucleus | INFO | engine.py:66 | Retrieved 2 documents for query
2025-06-21 22:44:35,260 | pynucleus | INFO | model_loader.py:195 | Generating with HuggingFace model (max_tokens=50, stream=False)
2025-06-21 22:44:38,772 | pynucleus | WARNING | golden_eval.py:22 | Q: What is absorption in mass transfer? missed keywords: ['absorption', 'gas', 'liquid phase', 'mass transfer']
2025-06-21 22:44:38,856 | pynucleus | INFO | engine.py:66 | Retrieved 2 documents for query
2025-06-21 22:44:38,857 | pynucleus | INFO | model_loader.py:195 | Generating with HuggingFace model (max_tokens=50, stream=False)
2025-06-21 22:44:42,305 | pynucleus | WARNING | golden_eval.py:22 | Q: What influences drying efficiency in industrial dryers? missed keywords: ['temperature', 'velocity', 'humidity', 'drying method']
2025-06-21 22:44:42,306 | pynucleus | INFO | golden_eval.py:25 | Golden dataset accuracy: 0.00% (0/5 questions)
2025-06-21 22:44:42,309 | pynucleus.rag.vector_store | WARNING | vector_store.py:606 | ChromaDB instance conflict detected in vector store, reinitializing...
2025-06-21 22:44:42,415 | pynucleus.rag.vector_store | ERROR | vector_store.py:621 | Failed to recreate ChromaDB in vector store: An instance of Chroma already exists for data/03_intermediate/vector_db with different settings
2025-06-21 22:44:42,415 | pynucleus.pipeline.pipeline_rag | WARNING | pipeline_rag.py:45 | Vector store (chroma) not fully loaded - will use fallback mode
