2025-06-21 22:44:42,420 | pynucleus.rag.vector_store | WARNING | vector_store.py:606 | ChromaDB instance conflict detected in vector store, reinitializing...
2025-06-21 22:44:42,523 | pynucleus.rag.vector_store | ERROR | vector_store.py:621 | Failed to recreate ChromaDB in vector store: An instance of Chroma already exists for data/03_intermediate/vector_db with different settings
2025-06-21 22:44:42,524 | pynucleus.pipeline.pipeline_rag | WARNING | pipeline_rag.py:45 | Vector store (chroma) not fully loaded - will use fallback mode
2025-06-21 22:44:42,524 | validate_rag_factual_accuracy | INFO | validate_rag_factual_accuracy.py:61 | Loading validation questions from docs/e2e_validation_questions.csv
2025-06-21 22:44:42,526 | validate_rag_factual_accuracy | INFO | validate_rag_factual_accuracy.py:128 | Loaded 0 questions from CSV
2025-06-21 22:44:42,526 | validate_rag_factual_accuracy | INFO | validate_rag_factual_accuracy.py:73 | Validating 0 questions...
2025-06-21 22:44:42,526 | validate_rag_factual_accuracy | INFO | validate_rag_factual_accuracy.py:106 | Validation completed: 0/0 passed
2025-06-21 22:44:42,527 | pynucleus.rag.vector_store | WARNING | vector_store.py:606 | ChromaDB instance conflict detected in vector store, reinitializing...
2025-06-21 22:44:42,633 | pynucleus.rag.vector_store | ERROR | vector_store.py:621 | Failed to recreate ChromaDB in vector store: An instance of Chroma already exists for data/03_intermediate/vector_db with different settings
2025-06-21 22:44:42,642 | pynucleus.api.app | INFO | app.py:148 | Health check requested
2025-06-21 22:44:42,748 | pynucleus | INFO | engine.py:66 | Retrieved 2 documents for query
2025-06-21 22:44:42,748 | pynucleus | INFO | model_loader.py:195 | Generating with HuggingFace model (max_tokens=50, stream=False)
2025-06-21 22:44:47,108 | pynucleus.rag.vector_store | WARNING | vector_store.py:606 | ChromaDB instance conflict detected in vector store, reinitializing...
2025-06-21 22:44:47,213 | pynucleus.rag.vector_store | ERROR | vector_store.py:621 | Failed to recreate ChromaDB in vector store: An instance of Chroma already exists for data/03_intermediate/vector_db with different settings
2025-06-21 22:44:47,213 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 22:44:47] "GET /health HTTP/1.1" 200 -
2025-06-21 22:44:47,216 | pynucleus.api.app | INFO | app.py:340 | Processing question: test... (stream: False)
2025-06-21 22:44:47,307 | pynucleus | INFO | engine.py:66 | Retrieved 2 documents for query
2025-06-21 22:44:47,307 | pynucleus | INFO | model_loader.py:195 | Generating with HuggingFace model (max_tokens=50, stream=False)
2025-06-21 22:44:51,888 | pynucleus.api.app | INFO | app.py:440 | Question processed successfully in 4.67s
2025-06-21 22:44:51,888 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 22:44:51] "POST /ask HTTP/1.1" 200 -
2025-06-21 22:44:51,890 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 22:44:51] "GET /system_diagnostic HTTP/1.1" 200 -
2025-06-21 22:45:01,047 | pynucleus | INFO | engine.py:66 | Retrieved 1 documents for query
2025-06-21 22:45:01,206 | pynucleus | INFO | engine.py:66 | Retrieved 1000 documents for query
2025-06-21 22:45:01,207 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 22:45:01] "GET /status HTTP/1.1" 200 -
2025-06-21 22:45:31,125 | pynucleus | INFO | engine.py:66 | Retrieved 1 documents for query
2025-06-21 22:45:31,283 | pynucleus | INFO | engine.py:66 | Retrieved 1000 documents for query
2025-06-21 22:45:31,284 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 22:45:31] "GET /status HTTP/1.1" 200 -
2025-06-21 22:46:01,189 | pynucleus | INFO | engine.py:66 | Retrieved 1 documents for query
2025-06-21 22:46:01,337 | pynucleus | INFO | engine.py:66 | Retrieved 1000 documents for query
2025-06-21 22:46:01,337 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [21/Jun/2025 22:46:01] "GET /status HTTP/1.1" 200 -
