2025-06-22 21:45:11,121 | PyNucleusRunner | INFO | run_web_app.py:64 | ============================================================
2025-06-22 21:45:11,121 | PyNucleusRunner | INFO | run_web_app.py:65 | 🚀 Starting PyNucleus Web Application...
2025-06-22 21:45:11,121 | PyNucleusRunner | INFO | run_web_app.py:66 |    • Mode: Development (Debug ON)
2025-06-22 21:45:11,121 | PyNucleusRunner | INFO | run_web_app.py:67 |    • Model: Qwen/Qwen3-0.6B
2025-06-22 21:45:11,121 | PyNucleusRunner | INFO | run_web_app.py:68 |    • Vector DB: data/03_intermediate/vector_db
2025-06-22 21:45:11,121 | PyNucleusRunner | INFO | run_web_app.py:69 | ============================================================
2025-06-22 21:45:11,121 | PyNucleusRunner | INFO | run_web_app.py:70 |    ►►► Open your browser at http://localhost:5001/ ◄◄◄
2025-06-22 21:45:11,121 | PyNucleusRunner | INFO | run_web_app.py:71 | ============================================================
2025-06-22 21:45:11,159 | werkzeug | INFO | _internal.py:97 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://192.168.1.43:5001
2025-06-22 21:45:11,160 | werkzeug | INFO | _internal.py:97 | [33mPress CTRL+C to quit[0m
2025-06-22 21:45:22,201 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [22/Jun/2025 21:45:22] "[36mGET / HTTP/1.1[0m" 304 -
2025-06-22 21:45:26,223 | pynucleus | INFO | engine.py:38 | ChromaDB client initialized successfully
2025-06-22 21:45:26,423 | pynucleus | INFO | engine.py:74 | Retrieved 1 documents for query
2025-06-22 21:45:26,552 | pynucleus | INFO | engine.py:74 | Retrieved 1000 documents for query
2025-06-22 21:45:26,553 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [22/Jun/2025 21:45:26] "GET /status HTTP/1.1" 200 -
2025-06-22 21:45:27,823 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
2025-06-22 21:45:27,823 | pynucleus.rag.vector_store | INFO | vector_store.py:632 | Loaded existing ChromaDB collection: pynucleus_documents
2025-06-22 21:45:27,828 | pynucleus.rag.vector_store | INFO | vector_store.py:637 | ChromaDB collection contains 3772 documents
2025-06-22 21:45:27,939 | pynucleus | INFO | engine.py:74 | Retrieved 1 documents for query
2025-06-22 21:45:27,941 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [22/Jun/2025 21:45:27] "GET /system_statistics HTTP/1.1" 200 -
2025-06-22 21:45:29,674 | pynucleus | INFO | engine.py:74 | Retrieved 1 documents for query
2025-06-22 21:45:29,774 | pynucleus | INFO | engine.py:74 | Retrieved 1000 documents for query
2025-06-22 21:45:29,774 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [22/Jun/2025 21:45:29] "GET /status HTTP/1.1" 200 -
2025-06-22 21:45:31,860 | pynucleus | INFO | engine.py:74 | Retrieved 1 documents for query
2025-06-22 21:45:31,861 | pynucleus | INFO | engine.py:74 | Retrieved 1 documents for query
2025-06-22 21:45:32,019 | pynucleus | INFO | engine.py:74 | Retrieved 1000 documents for query
2025-06-22 21:45:32,020 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [22/Jun/2025 21:45:32] "GET /status HTTP/1.1" 200 -
2025-06-22 21:45:32,026 | pynucleus | INFO | engine.py:74 | Retrieved 1000 documents for query
2025-06-22 21:45:32,027 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [22/Jun/2025 21:45:32] "GET /status HTTP/1.1" 200 -
2025-06-22 21:45:32,882 | pynucleus.rag.vector_store | INFO | vector_store.py:601 | ChromaDB client initialized successfully in vector store
