2025-07-02 01:05:33,905 | diagnostic_runner_file | INFO | runner.py:240 | scripts/validate_rag_factual_accuracy.py - Execution OK
2025-07-02 01:05:33,905 | diagnostic_runner_file | INFO | runner.py:240 | scripts/validate_rag_factual_accuracy.py - Overall: HEALTHY
2025-07-02 01:05:33,909 | diagnostic_runner_file | INFO | runner.py:240 | scripts/system_validator.py - Syntax OK
2025-07-02 01:05:33,909 | diagnostic_runner_file | INFO | runner.py:240 | scripts/system_validator.py - Imports OK
2025-07-02 01:05:33,910 | diagnostic_runner_file | INFO | runner.py:240 | scripts/system_validator.py - Execution OK
2025-07-02 01:05:33,910 | diagnostic_runner_file | INFO | runner.py:240 | scripts/system_validator.py - Overall: HEALTHY
2025-07-02 01:05:33,912 | diagnostic_runner_file | INFO | runner.py:240 | scripts/system_statistics.py - Syntax OK
2025-07-02 01:05:33,912 | diagnostic_runner_file | INFO | runner.py:240 | scripts/system_statistics.py - Imports OK
2025-07-02 01:05:33,913 | diagnostic_runner_file | INFO | runner.py:240 | scripts/system_statistics.py - Execution OK
2025-07-02 01:05:33,913 | diagnostic_runner_file | INFO | runner.py:240 | scripts/system_statistics.py - Overall: HEALTHY
2025-07-02 01:05:33,913 | diagnostic_runner_file | INFO | runner.py:240 | Validation Scripts Health: PASSED
2025-07-02 01:05:33,913 | diagnostic_runner_file | WARNING | runner.py:238 | - 4/4 scripts healthy (100.0%)
2025-07-02 01:05:33,913 | diagnostic_runner_file | INFO | runner.py:248 | === RAG SYSTEM HEALTH CHECK ===
2025-07-02 01:05:33,913 | diagnostic_runner_file | INFO | runner.py:240 | RAG Core Import: PASSED
2025-07-02 01:05:33,913 | diagnostic_runner_file | WARNING | runner.py:238 | - RAG modules successfully imported
2025-07-02 01:05:33,913 | diagnostic_runner_file | INFO | runner.py:240 | Testing RAG system components...
2025-07-02 01:05:33,913 | diagnostic_runner_file | INFO | runner.py:240 | RAG System Components: PASSED
2025-07-02 01:05:33,913 | diagnostic_runner_file | WARNING | runner.py:238 | - RAG system accessible
2025-07-02 01:05:33,913 | diagnostic_runner_file | INFO | runner.py:248 | === DWSIM INTEGRATION CHECK ===
2025-07-02 01:05:33,913 | diagnostic_runner_file | INFO | runner.py:240 | DWSIM integration path found: src/pynucleus/integration
2025-07-02 01:05:33,913 | diagnostic_runner_file | INFO | runner.py:240 | DWSIM Integration: PASSED
2025-07-02 01:05:33,913 | diagnostic_runner_file | WARNING | runner.py:238 | - DWSIM integration modules available
2025-07-02 01:05:33,913 | diagnostic_runner_file | INFO | runner.py:248 | === LLM INTEGRATION CHECK ===
2025-07-02 01:05:33,913 | diagnostic_runner_file | INFO | runner.py:240 | LLM Runner Import: PASSED
2025-07-02 01:05:33,913 | diagnostic_runner_file | WARNING | runner.py:238 | - LLM Runner module available
2025-07-02 01:05:33,913 | diagnostic_runner_file | ERROR | runner.py:236 | LLM Query Module: FAILED
2025-07-02 01:05:33,913 | diagnostic_runner_file | WARNING | runner.py:238 | - LLM query module not available
2025-07-02 01:05:33,913 | diagnostic_runner_file | INFO | runner.py:248 | === PIPELINE COMPONENTS TEST ===
2025-07-02 01:05:33,914 | diagnostic_runner_file | INFO | runner.py:240 | Configuration Manager: PASSED
2025-07-02 01:05:33,914 | diagnostic_runner_file | WARNING | runner.py:238 | - ConfigManager module available
2025-07-02 01:05:33,914 | diagnostic_runner_file | INFO | runner.py:240 | Pipeline Utilities: PASSED
2025-07-02 01:05:33,914 | diagnostic_runner_file | WARNING | runner.py:238 | - PipelineUtils module available
2025-07-02 01:05:33,914 | diagnostic_runner_file | INFO | runner.py:240 | Results Exporter: PASSED
2025-07-02 01:05:33,914 | diagnostic_runner_file | WARNING | runner.py:238 | - ResultsExporter module available
2025-07-02 01:05:33,914 | diagnostic_runner_file | INFO | runner.py:248 | === ENHANCED PIPELINE COMPONENTS CHECK ===
2025-07-02 01:05:33,914 | diagnostic_runner_file | INFO | runner.py:240 | Enhanced Modules Import: PASSED
2025-07-02 01:05:33,914 | diagnostic_runner_file | WARNING | runner.py:238 | - All enhanced modules imported successfully
2025-07-02 01:05:33,914 | diagnostic_runner_file | INFO | runner.py:240 | Enhanced ConfigManager: PASSED
2025-07-02 01:05:33,914 | diagnostic_runner_file | WARNING | runner.py:238 | - ConfigManager initialized with configs dir
2025-07-02 01:05:33,914 | pynucleus.integration.llm_output_generator | INFO | llm_output_generator.py:21 | Using direct content generation (templates migrated to DSPy)
2025-07-02 01:05:33,914 | diagnostic_runner_file | INFO | runner.py:240 | Enhanced LLM Generator: PASSED
2025-07-02 01:05:33,914 | diagnostic_runner_file | WARNING | runner.py:238 | - LLMOutputGenerator initialized
2025-07-02 01:05:33,914 | diagnostic_runner_file | INFO | runner.py:248 | === ENHANCED CONTENT GENERATION CHECK ===
