2025-07-03 21:13:14,975 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/rag/wiki_scraper.py - Execution OK
2025-07-03 21:13:14,975 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/rag/wiki_scraper.py - Overall: HEALTHY
2025-07-03 21:13:14,977 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/rag/embedding_monitor.py - Syntax OK
2025-07-03 21:13:14,977 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/rag/embedding_monitor.py - Imports OK
2025-07-03 21:13:14,977 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/rag/embedding_monitor.py - Execution OK
2025-07-03 21:13:14,977 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/rag/embedding_monitor.py - Overall: HEALTHY
2025-07-03 21:13:14,980 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/rag/document_processor.py - Syntax OK
2025-07-03 21:13:14,980 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/rag/document_processor.py - Imports OK
2025-07-03 21:13:14,980 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/rag/document_processor.py - Execution OK
2025-07-03 21:13:14,980 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/rag/document_processor.py - Overall: HEALTHY
2025-07-03 21:13:14,982 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/rag/collector.py - Syntax OK
2025-07-03 21:13:14,982 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/rag/collector.py - Imports OK
2025-07-03 21:13:14,983 | diagnostic_runner_file | WARNING | runner.py:238 | src/pynucleus/rag/collector.py - Execution warning: attempted relative import with no known parent package...
2025-07-03 21:13:14,983 | diagnostic_runner_file | WARNING | runner.py:238 | src/pynucleus/rag/collector.py - Overall: ISSUES FOUND
2025-07-03 21:13:14,983 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/rag/__init__.py - Syntax OK
